ID,Player,Span,Matches,Starts,Subs,Points,Tries,Conversions,Penalties,Drop Goals,GfM,Won,Lost,Drawn
589,Jack Molony,1950-1950,1,1,0,0,0,0,0,0,0,1,0,0
590,Hex Uprichard,1950-1950,2,2,0,0,0,0,0,0,0,1,1,0
591,Richard Chambers,1951-1952,6,6,0,0,0,0,0,0,0,4,1,1
592,Cornelius Griffin,1951-1951,2,2,0,0,0,0,0,0,0,2,0,0
593,John O'Meara,1951-1958,22,22,0,6,2,0,0,0,0,10,9,3
594,John Smith,1951-1954,12,12,0,0,0,0,0,0,0,5,6,1
595,Harry Millar,1951-1952,5,5,0,0,0,0,0,0,0,3,1,1
596,James Brady,1951-1957,12,12,0,0,0,0,0,0,0,6,4,2
597,Patrick Lawlor,1951-1956,12,12,0,3,1,0,0,0,0,5,7,0
598,Angus McMorrow,1951-1951,1,1,0,0,0,0,0,0,0,0,0,1
599,Antony Browne,1951-1951,1,1,0,3,1,0,0,0,0,0,1,0
600,Gerry Murphy,1951-1958,6,6,0,5,0,1,1,0,0,1,5,0
601,Robin Thompson,1951-1956,14,14,0,0,0,0,0,0,0,4,10,0
602,John Notley,1952-1952,2,2,0,2,0,1,0,0,0,2,0,0
603,Mick Dargan,1952-1952,2,2,0,0,0,0,0,0,0,1,1,0
604,Archie O'Leary,1952-1952,3,3,0,0,0,0,0,0,0,1,2,0
605,Niall Bailey,1952-1952,1,1,0,0,0,0,0,0,0,0,1,0
606,Michael Hillary,1952-1952,1,1,0,0,0,0,0,0,0,0,1,0
607,Patrick Kavanagh,1952-1955,2,2,0,0,0,0,0,0,0,0,2,0
608,William O'Neill,1952-1954,6,6,0,0,0,0,0,0,0,2,3,1
609,Robin Roe,1952-1957,21,21,0,0,0,0,0,0,0,7,12,2
610,Fuzzy Anderson,1953-1955,13,13,0,0,0,0,0,0,0,3,8,2
611,Ewart Bell,1953-1953,4,4,0,0,0,0,0,0,0,2,1,1
612,Robin Gregg,1953-1954,7,7,0,12,0,6,0,0,0,3,3,1
613,James Kavanagh,1953-1962,35,35,0,12,4,0,0,0,0,12,21,2
614,Maurice Mortell,1953-1954,9,9,0,15,5,0,0,0,0,3,5,1
615,Tom Reid,1953-1957,15,15,0,0,0,0,0,0,0,4,9,2
616,Seamus Byrne,1953-1955,3,3,0,12,4,0,0,0,0,1,2,0
617,Cecil Pedlow,1953-1963,32,32,0,36,4,6,4,0,0,7,23,2
618,Gerard Reidy,1953-1954,5,5,0,0,0,0,0,0,0,1,4,0
619,Joseph Gaston,1954-1956,8,8,0,3,1,0,0,0,0,1,7,0
620,John Hewitt,1954-1961,4,4,0,0,0,0,0,0,0,1,3,0
621,James Murphy-O'Connor,1954-1954,1,1,0,3,0,0,1,0,0,0,1,0
622,Gordon Wood,1954-1961,31,31,0,3,1,0,0,0,0,10,21,0
