No.,Player,Position,Debut
600,Gerry Murphy,FB,"v South Africa Lansdowne Road, 8 Dec 1951"
601,Robin Thompson,L,"v South Africa Lansdowne Road, 8 Dec 1951"
602,John Notley,FB,"v France Colombes, 26 Jan 1952"
603,Mick Dargan,F,"v Scotland Lansdowne Road, 23 Feb 1952"
604,Archie O'Leary,L,"v Scotland Lansdowne Road, 23 Feb 1952"
605,Niall Bailey,W,"v England Twickenham, 29 Mar 1952"
606,Michael Hillary,W,"v England Twickenham, 29 Mar 1952"
607,Patrick Kavanagh,F,"v England Twickenham, 29 Mar 1952"
608,William O'Neill,P,"v England Twickenham, 29 Mar 1952"
609,Robin Roe,H,"v England Twickenham, 29 Mar 1952"
610,Fuzzy Anderson,P,"v France Belfast, 24 Jan 1953"
611,Ewart Bell,F,"v France Belfast, 24 Jan 1953"
612,Robin Gregg,FB,"v France Belfast, 24 Jan 1953"
613,James Kavanagh,N8,"v France Belfast, 24 Jan 1953"
614,Maurice Mortell,W,"v France Belfast, 24 Jan 1953"
615,Tom Reid,L,"v England Lansdowne Road, 14 Feb 1953"
616,Seamus Byrne,W,"v Scotland Murrayfield, 28 Feb 1953"
617,Cecil Pedlow,C,"v Wales Swansea, 14 Mar 1953"
618,Gerard Reidy,F,"v Wales Swansea, 14 Mar 1953"
619,Joseph Gaston,W,"v New Zealand Lansdowne Road, 9 Jan 1954"
620,John Hewitt,FH,"v England Twickenham, 13 Feb 1954"
621,James Murphy-O'Connor,N8,"v England Twickenham, 13 Feb 1954"
622,Gordon Wood,P,"v England Twickenham, 13 Feb 1954"
623,Robin Godfrey,C,"v Scotland Belfast, 27 Feb 1954"
624,Seamus Kelly,FH,"v Scotland Belfast, 27 Feb 1954"
625,Patrick Berkery,FB,"v Wales Lansdowne Road, 13 Mar 1954"
626,Herbert McCracken,SH,"v Wales Lansdowne Road, 13 Mar 1954"
627,Marney Cunningham,F,"v France Lansdowne Road, 22 Jan 1955"
628,William O'Connell,L,"v France Lansdowne Road, 22 Jan 1955"
629,Patrick O'Donoghue,P,"v France Lansdowne Road, 22 Jan 1955"
630,Tony O'Reilly,C,"v France Lansdowne Road, 22 Jan 1955"
631,William Tector,FB,"v France Lansdowne Road, 22 Jan 1955"
632,Mick Madden,L,"v England Lansdowne Road, 12 Feb 1955"
633,Dick Roche,W,"v England Lansdowne Road, 12 Feb 1955"
